station;2012;2013;2014;2015;2016;2017;stof;afkorting
NL10742;21.924;-;-;-;-;-;fijn stof;PM10
NL10738;19.372;18.865;20.047;18.005;18.101;18.636;fijn stof;PM10
NL10446;19.437;21.431;20.54;19.715;17.535;17.041;fijn stof;PM10
NL10235;21.266;22.244;20.225;18.036;16.075;17.098;fijn stof;PM10
NL10137;20.251;23.149;-;-;-;-;fijn stof;PM10
NL10929;18.658;17.758;20.711;14.822;15.464;14.831;fijn stof;PM10
NL49551;25.159;25.44;24.594;19.262;19.566;20.604;fijn stof;PM10
NL10444;22.914;18.67;18.835;16.723;15.63;16.206;fijn stof;PM10
NL10243;32.745;23.033;19.286;18.274;-;-;fijn stof;PM10
NL10418;21.376;21.447;20.382;20.513;20.04;19.93;fijn stof;PM10
NL01495;21.486;19.964;19.781;18.499;15.728;19.72;fijn stof;PM10
NL49014;20.993;21.083;20.874;17.316;16.976;17.141;fijn stof;PM10
NL01491;21.636;22.934;23.743;22.308;20.751;21.705;fijn stof;PM10
NL01486;-;-;-;19.042;-;-;fijn stof;PM10
NL01493;24.008;24.585;24.837;21.737;20.863;21.033;fijn stof;PM10
NL10633;22.887;19.79;19.182;18.709;17.139;16.656;fijn stof;PM10
NL10937;24.26;24.278;22.561;22.706;22.603;21.937;fijn stof;PM10
NL49572;21.498;20.816;19.499;17.958;18.793;20.468;fijn stof;PM10
NL10728;19.088;-;-;-;-;-;fijn stof;PM10
NL10247;27.664;22.035;18.147;18.811;19.357;18.914;fijn stof;PM10
NL10636;24.219;22.705;22.496;20.243;18.701;19.085;fijn stof;PM10
NL10442;20.596;23.886;20.174;18.337;17.442;18.013;fijn stof;PM10
NL10230;23.403;22.585;22.061;19.984;18.7;19.654;fijn stof;PM10
NL10244;23.233;23.06;20.139;17.988;-;-;fijn stof;PM10
NL49561;21.862;22.514;21.566;18.848;18.551;19.073;fijn stof;PM10
NL10136;22.44;24.199;19.598;21.296;18.935;18.856;fijn stof;PM10
NL10246;18.638;18.777;19.088;18.107;17.109;17.736;fijn stof;PM10
NL49556;20.392;20.172;20.544;14.752;14.728;14.101;fijn stof;PM10
NL10236;-;17.425;18.503;17.893;18.362;19.311;fijn stof;PM10
NL10445;24.599;25.592;25.239;23.441;22.278;23.484;fijn stof;PM10
NL49565;20.304;22.179;20.81;17.232;18.651;18.166;fijn stof;PM10
NL10131;23.097;21.542;19.831;19.46;18.632;19.497;fijn stof;PM10
NL10547;21.515;22.175;20.855;18.755;18.176;18.379;fijn stof;PM10
NL49570;21.129;21.448;20.429;17.212;17.322;19.827;fijn stof;PM10
NL10537;23.035;24.296;23.406;-;-;-;fijn stof;PM10
NL49020;-;-;-;20.109;23.057;22.549;fijn stof;PM10
NL01488;20.182;20.258;22.075;19.573;20.869;18.054;fijn stof;PM10
NL10520;20.191;-;-;-;-;-;fijn stof;PM10
NL49703;20.872;21.333;21.654;17.324;17.402;16.275;fijn stof;PM10
NL10631;21.522;20.891;20.042;17.904;16.746;-;fijn stof;PM10
NL49546;24.453;25.887;23.062;20.378;19.376;21.683;fijn stof;PM10
NL01496;23.38;25.947;23.438;21.016;21.016;23.808;fijn stof;PM10
NL49012;26.892;27.297;25.568;22.657;22.07;21.795;fijn stof;PM10
NL10447;23.262;21.181;22.471;-;-;-;fijn stof;PM10
NL10138;-;-;18.043;17.48;15.833;16.651;fijn stof;PM10
NL10404;22.335;21.735;23.968;20.08;19.303;20.116;fijn stof;PM10
NL10934;19.848;16.9;18.886;15.347;14.99;15.939;fijn stof;PM10
NL01494;20.987;19.985;20.61;19.891;19.886;20.621;fijn stof;PM10
NL10237;24.55;23.415;21.227;21.704;20.394;21.545;fijn stof;PM10
NL49564;20.442;21.723;20.727;14.204;14.855;18.479;fijn stof;PM10
NL01489;22.588;22.784;22.03;18.905;17.957;21.214;fijn stof;PM10
NL10617;-;-;-;-;15.48;15.579;fijn stof;PM10
NL49007;27.252;26.005;24.457;21.454;23.468;22.059;fijn stof;PM10
NL10437;21.743;20.514;20.015;17.666;16.936;16.647;fijn stof;PM10
NL10918;20.158;18.515;20.823;19.065;17.233;13.489;fijn stof;PM10
NL10433;23.045;22.895;23.865;21.456;20.335;21.558;fijn stof;PM10
NL10644;-;19.539;18.88;16.927;15.366;15.385;fijn stof;PM10
NL01485;22.963;22.658;22.648;19.227;19.461;19.641;fijn stof;PM10
NL10133;19.589;20.912;18.358;17.163;16.445;17.753;fijn stof;PM10
NL10639;20.562;20.619;20.0;19.543;18.572;19.652;fijn stof;PM10
NL49701;23.42;22.588;23.441;19.531;22.382;19.9;fijn stof;PM10
NL10641;22.557;19.448;19.069;17.299;17.386;18.293;fijn stof;PM10
NL10240;24.003;22.882;22.418;20.791;20.715;21.883;fijn stof;PM10
NL10550;-;-;-;21.07;19.873;19.361;fijn stof;PM10
NL10741;23.243;24.148;21.709;23.161;21.297;22.023;fijn stof;PM10
NL49017;25.662;25.865;23.335;21.092;20.577;20.141;fijn stof;PM10
NL49553;25.983;25.82;25.141;22.709;21.194;24.357;fijn stof;PM10
NL10807;19.377;19.929;19.236;15.676;15.776;18.319;fijn stof;PM10
NL01908;-;-;28.589;23.068;21.934;21.766;fijn stof;PM10
NL10538;19.301;19.058;18.532;15.494;15.689;15.122;fijn stof;PM10
NL10545;20.13;22.405;23.927;21.421;21.007;25.087;fijn stof;PM10
NL10241;21.56;21.244;20.352;20.347;19.235;19.525;fijn stof;PM10
NL10549;19.435;19.372;19.034;17.416;15.668;16.677;fijn stof;PM10
NL10818;17.224;18.933;19.412;16.586;16.834;15.037;fijn stof;PM10
NL01483;33.615;32.222;29.4;31.519;-;-;fijn stof;PM10
NL49573;29.904;34.412;28.533;26.476;27.901;28.107;fijn stof;PM10
NL10318;21.386;23.314;21.629;20.698;18.913;17.837;fijn stof;PM10
NL49016;21.698;20.222;19.84;17.029;21.601;21.539;fijn stof;PM10
NL49704;20.037;20.626;21.368;17.375;21.472;17.495;fijn stof;PM10
NL01487;25.908;26.722;25.757;22.71;23.49;22.564;fijn stof;PM10
NL10722;19.636;15.336;17.089;17.66;17.168;18.27;fijn stof;PM10